loss,accuracy,val_loss,val_accuracy
1.7165601253509521,0.37926000356674194,2.333635091781616,0.25049999356269836
1.3047311305999756,0.5336999893188477,1.7132329940795898,0.40720000863075256
1.1053340435028076,0.612559974193573,1.485788345336914,0.4936000108718872
0.9419237375259399,0.674019992351532,1.1340826749801636,0.6054999828338623
0.8341467380523682,0.70933997631073,1.3662681579589844,0.565500020980835
0.7994027137756348,0.7235599756240845,1.2372968196868896,0.5965999960899353
0.666550874710083,0.7689599990844727,1.3981255292892456,0.5910000205039978
0.5789116621017456,0.8008999824523926,1.0464495420455933,0.6607999801635742
0.53119957447052,0.8179799914360046,1.0083307027816772,0.6797999739646912
0.48877811431884766,0.8311200141906738,1.0625234842300415,0.6714000105857849
