loss,accuracy,val_loss,val_accuracy
2.05789852142334,0.250900000333786,2.1624653339385986,0.2378000020980835
1.6462033987045288,0.40053999423980713,1.6192824840545654,0.4198000133037567
1.436100959777832,0.483379989862442,1.4920525550842285,0.4674000144004822
1.2954866886138916,0.5357599854469299,1.4038718938827515,0.5102999806404114
1.1809403896331787,0.58051997423172,1.3643128871917725,0.5324000120162964
1.0850192308425903,0.6142600178718567,1.4503971338272095,0.5113999843597412
0.9985897541046143,0.6514800190925598,1.281619668006897,0.5649999976158142
0.9142025113105774,0.6796600222587585,1.317482829093933,0.5703999996185303
0.8356496095657349,0.7103599905967712,1.3376792669296265,0.567799985408783
0.7808145880699158,0.7304400205612183,1.205871820449829,0.6183000206947327
